ask,bid,close,high,low,last,symbol,average,baseVolume,timestamp,exchange,baseCurrency,quotCurrency
8585.9,8585.8,8585.9,9393.9,8510.0,8585.9,BTC/USD,8585.85,52703.38593994,1526044989877.7998,bitfinex,BTC,USD
138.87,138.86,138.86,158.28,137.15,138.86,LTC/USD,138.865,223531.85610304002,1526044989878.2195,bitfinex,LTC,USD
0.016174,0.016172,0.016173,0.016866,0.016029,0.016173,LTC/BTC,0.016173,40090.39493451,1526044989878.5525,bitfinex,LTC,BTC
680.14,680.13,680.14,768.47,669.0,680.14,ETH/USD,680.135,316705.11858397,1526044989878.8208,bitfinex,ETH,USD
0.079321,0.07929,0.079321,0.08225,0.078,0.079321,ETH/BTC,0.0793055,27256.600954150003,1526044989879.078,bitfinex,ETH,BTC
0.0020778,0.0020718,0.0020729,0.0023185,0.0019362,0.0020729,ETC/BTC,0.0020748,412776.13165129005,1526044989879.3596,bitfinex,ETC,BTC
17.828,17.773,17.779,21.709,16.7,17.779,ETC/USD,17.8005,2285676.33584864,1526044989879.603,bitfinex,ETC,USD
0.053498,0.052,0.052,0.05739,0.052,0.052,RRT/USD,0.052749,370270.22423610993,1526044989879.8042,bitfinex,RRT,USD
6.4e-06,5.9e-06,6.4e-06,6.4e-06,5.88e-06,6.4e-06,RRT/BTC,6.15e-06,17578.727234580005,1526044989880.072,bitfinex,RRT,BTC
241.08,240.54,240.53,282.22,238.56,240.53,ZEC/USD,240.81,12795.029742919998,1526044989880.3335,bitfinex,ZEC,USD
0.028079,0.027948,0.027944,0.030085,0.027749,0.027944,ZEC/BTC,0.0280135,3727.31829968,1526044989880.539,bitfinex,ZEC,BTC
199.07,198.81,199.0,233.63,195.95,199.0,XMR/USD,198.94,48465.1240993,1526044989880.8132,bitfinex,XMR,USD
0.023193,0.023132,0.023149,0.024936,0.022988,0.023149,XMR/BTC,0.0231625,9245.32967864,1526044989881.0068,bitfinex,XMR,BTC
390.74,389.96,390.29,462.62,385.46,390.29,DASH/USD,390.35,13796.814818670002,1526044989881.2927,bitfinex,DASH,USD
0.045576,0.045412,0.04543,0.049318,0.045385,0.04543,DASH/BTC,0.045494,4660.68212982,1526044989881.4958,bitfinex,DASH,BTC
7182.2,7182.0,7190.2,7872.8,7121.3,7190.2,BTC/EUR,7182.1,2305.7752046400005,1526044989881.7903,bitfinex,BTC,EUR
937770.0,937740.0,937919.99999949,1028499.99999947,929781.8754694,937919.99999949,BTC/JPY,937755.0,1207.61991057,1526044989881.982,bitfinex,BTC,JPY
0.67599,0.6755,0.6755,0.80398,0.64619,0.6755,XRP/USD,0.675745,117575260.06542164,1526044989882.2405,bitfinex,XRP,USD
7.876e-05,7.868e-05,7.87e-05,8.58e-05,7.317e-05,7.87e-05,XRP/BTC,7.872e-05,30491623.4785959,1526044989882.4448,bitfinex,XRP,BTC
1.8809,1.876,1.876,2.295,1.771,1.876,IOTA/USD,1.87845,22693137.968271993,1526044989882.751,bitfinex,IOTA,USD
0.00021876,0.00021859,0.00021868,0.0002449,0.0002061,0.00021868,IOTA/BTC,0.000218675,4875816.53320878,1526044989882.982,bitfinex,IOTA,BTC
0.0027721,0.0027482,0.0027735,0.0030127,0.00262,0.0027735,IOTA/ETH,0.00276015,619544.75321406,1526044989883.284,bitfinex,IOTA,ETH
14.94,14.922,14.939,18.747,13.542,14.939,EOS/USD,14.931,27195001.197470654,1526044989883.583,bitfinex,EOS,USD
0.001741,0.0017409,0.0017409,0.002,0.00158,0.0017409,EOS/BTC,0.00174095,3416785.7966106473,1526044989883.875,bitfinex,EOS,BTC
0.021997,0.021938,0.02196,0.024441,0.020202,0.02196,EOS/ETH,0.0219675,1468210.46587287,1526044989884.1118,bitfinex,EOS,ETH
1.3899,1.386,1.3899,1.8,1.1428,1.3899,SAN/USD,1.38795,2529700.2513787905,1526044989884.3977,bitfinex,SAN,USD
0.00016402,0.0001607,0.00016,0.0001919,0.00014,0.00016,SAN/BTC,0.00016236,183775.55848808997,1526044989884.6482,bitfinex,SAN,BTC
0.0023834,0.0019426,0.0019462,0.0023878,0.0016602,0.0019462,SAN/ETH,0.002163,29824.85217726,1526044989884.8823,bitfinex,SAN,ETH
13.952,13.918,13.884,16.23,13.156,13.884,OMG/USD,13.935,550086.37340451,1526044989885.1106,bitfinex,OMG,USD
0.0016266,0.0016194,0.0016249,0.0017362,0.0015375,0.0016249,OMG/BTC,0.001623,63659.98559331,1526044989885.3608,bitfinex,OMG,BTC
0.020599,0.020364,0.02043,0.021456,0.019623,0.02043,OMG/ETH,0.0204815,17246.74076808,1526044989885.6123,bitfinex,OMG,ETH
1377.8,1376.6,1376.6,1662.6,1300.1,1376.6,BCH/USD,1377.2,94988.81582204,1526044989885.8618,bitfinex,BCH,USD
0.16058,0.16046,0.16044,0.17693,0.15361,0.16044,BCH/BTC,0.16052,21626.359145929997,1526044989886.126,bitfinex,BCH,BTC
2.0293,2.0173,2.021,2.1723,1.9609,2.021,BCH/ETH,2.0233,374.00951722000025,1526044989886.4136,bitfinex,BCH,ETH
64.042,63.864,63.856,76.426,60.802,63.856,NEO/USD,63.953,322848.35409597,1526044989886.6914,bitfinex,NEO,USD
0.0074585,0.00744,0.00745,0.008133,0.0070868,0.00745,NEO/BTC,0.00744925,66405.44852867,1526044989886.939,bitfinex,NEO,BTC
0.09394,0.093209,0.093512,0.099333,0.09027,0.093512,NEO/ETH,0.0935745,4268.51533042,1526044989887.1868,bitfinex,NEO,ETH
0.81696,0.80606,0.81696,1.0139,0.73807,0.81696,ETP/USD,0.81151,2041630.1380362592,1526044989887.468,bitfinex,ETP,USD
9.544e-05,9.436e-05,9.45e-05,0.00010779,8.6e-05,9.45e-05,ETP/BTC,9.49e-05,279362.67427207,1526044989887.7744,bitfinex,ETP,BTC
0.0012103,0.001188,0.001188,0.0013211,0.0010594,0.001188,ETP/ETH,0.00119915,45390.947237570006,1526044989887.9949,bitfinex,ETP,ETH
16.135,16.065,16.064,20.096,15.383,16.064,QTUM/USD,16.1,78827.66495553,1526044989888.2808,bitfinex,QTUM,USD
0.0018797,0.0018712,0.0018591,0.0021472,0.001805,0.0018591,QTUM/BTC,0.00187545,19554.15973943,1526044989888.5454,bitfinex,QTUM,BTC
0.02372,0.023536,0.02352,0.02621,0.02303,0.02352,QTUM/ETH,0.023628,5423.25075191,1526044989888.8174,bitfinex,QTUM,ETH
1.3499,1.331,1.3497,1.7869,1.3301,1.3497,AVT/USD,1.34045,35859.94967379,1526044989889.0962,bitfinex,AVT,USD
0.00015532,0.00015411,0.00015532,0.0002098,0.0001552,0.00015532,AVT/BTC,0.000154715,26405.83673461,1526044989889.358,bitfinex,AVT,BTC
0.0021191,0.0019362,0.0019695,0.0024,0.0019695,0.0019695,AVT/ETH,0.00202765,10335.492932599998,1526044989889.7046,bitfinex,AVT,ETH
1.8201,1.7953,1.7953,2.2156,1.7404,1.7953,EDO/USD,1.8077,309625.76516009,1526044989889.9417,bitfinex,EDO,USD
0.00021148,0.00020836,0.00020731,0.0002339,0.0002015,0.00020731,EDO/BTC,0.00020992,87821.56760453,1526044989890.2651,bitfinex,EDO,BTC
0.0030102,0.0025987,0.0028106,0.0029,0.0026,0.0028106,EDO/ETH,0.00280445,53700.524812740005,1526044989890.5325,bitfinex,EDO,ETH
56.413,56.33,56.331,70.115,54.601,56.331,BTG/USD,56.3715,81813.32028296,1526044989890.7761,bitfinex,BTG,USD
0.0065649,0.0065401,0.0065209,0.0075018,0.0063704,0.0065209,BTG/BTC,0.0065525,17764.749795790005,1526044989891.036,bitfinex,BTG,BTC
0.0989,0.09875,0.0989,0.1279,0.091202,0.0989,DATA/USD,0.098825,11288145.6428658,1526044989891.2358,bitfinex,DATA,USD
1.156e-05,1.145e-05,1.15e-05,1.429e-05,1.075e-05,1.15e-05,DATA/BTC,1.1505e-05,2652736.1518590604,1526044989891.4941,bitfinex,DATA,BTC
0.0001494,0.00013668,0.000138,0.00017,0.00013508,0.000138,DATA/ETH,0.00014304,1932777.31120551,1526044989891.7383,bitfinex,DATA,ETH
0.61399,0.60001,0.61397,0.743,0.60001,0.61397,QASH/USD,0.607,449847.09364837006,1526044989891.964,bitfinex,QASH,USD
7.1e-05,6.962e-05,7e-05,8.09e-05,7e-05,7e-05,QASH/BTC,7.031e-05,155563.85116347,1526044989892.7612,bitfinex,QASH,BTC
0.00091101,0.0008801,0.0009072,0.0009988,0.00087824,0.0009072,QASH/ETH,0.000895555,90036.51643084,1526044989893.031,bitfinex,QASH,ETH
0.1312,0.12715,0.12715,0.165,0.12168,0.12715,YOYOW/USD,0.129175,2319414.2785262996,1526044989893.2585,bitfinex,YOYOW,USD
1.513e-05,1.47e-05,1.48e-05,1.769e-05,1.401e-05,1.48e-05,YOYOW/BTC,1.4915e-05,1030658.7271999201,1526044989893.556,bitfinex,YOYOW,BTC
